TYPE,TEETH OF GEAR,QTY,UNIT,Dia /size,DP/ B.SIZE,Pitch dia(in inch),Module,STORAGE LOCATION RACK AND SLOT NO,UNIQUE ID,
RBD,2.1,1,Nos,DD,,,,at wire drawing m/c,RBD--2.1--DD--,
RBD,2.05,1,Nos,DD,,,,at wire drawing m/c,RBD--2.05--DD--,
RBD,2,1,Nos,DD,,,,at wire drawing m/c,RBD--2--DD--,
RBD,1.98,1,Nos,DD,,,,at wire drawing m/c,RBD--1.98--DD--,
RBD,1.93,1,Nos,DD,,,,at wire drawing m/c,RBD--1.93--DD--,
RBD,1.85,1,Nos,DD,,,,at wire drawing m/c,RBD--1.85--DD--,
RBD,1.88,1,Nos,DD,,,,at wire drawing m/c,RBD--1.88--DD--,
RBD,1.7,1,Nos,DD,,,,at wire drawing m/c,RBD--1.7--DD--,
RBD,1.63,1,Nos,DD,,,,at wire drawing m/c,RBD--1.63--DD--,
RBD,1.55,1,Nos,DD,,,,at wire drawing m/c,RBD--1.55--DD--,
RBD,1.32,1,Nos,DD,,,,7E,RBD--1.32--DD--,
RBD,1.36,1,Nos,DD,,,,7E,RBD--1.36--DD--,
RBD,4.9,1,Nos,DD,,,,7E,RBD--4.9--DD--,
RBD,4.3,1,Nos,DD,,,,7E,RBD--4.3--DD--,
RBD,5.45,1,Nos,TC,,,,7E,RBD--5.45--TC--,
RBD,7.27,1,Nos,TC,,,,7E,RBD--7.27--TC--,
RBD,8.35,1,Nos,TC,,,,7E,RBD--8.35--TC--,
RBD,6.55,1,Nos,TC,,,,7E,RBD--6.55--TC--,
RBD,8.45,1,Nos,TC,,,,7E,RBD--8.45--TC--,
RBD,2.5,1,Nos,TC,,,,7E,RBD--2.5--TC--,
RBD,4.75,1,Nos,TC,,,,7E,RBD--4.75--TC--,
RBD,3.2,1,Nos,TC,,,,7E,RBD--3.2--TC--,
RBD,5.5,1,Nos,TC,,,,7E,RBD--5.5--TC--,
RBD,4.56,1,Nos,TC,,,,7E,RBD--4.56--TC--,
RBD,3.37,1,Nos,TC,,,,7E,RBD--3.37--TC--,
RBD,5.45,2,Nos,TC,,,,7E,RBD--5.45--TC--,
RBD,3.6,1,Nos,TC,,,,7E,RBD--3.6--TC--,
RBD,2.4,1,Nos,TC,,,,7E,RBD--2.4--TC--,
RBD,2.85,1,Nos,TC,,,,7E,RBD--2.85--TC--,
RBD,6.3,2,Nos,TC,,,,7E,RBD--6.3--TC--,
RBD,1.82,1,Nos,TC,,,,7E,RBD--1.82--TC--,
RBD,2.27,1,Nos,TC,,,,7E,RBD--2.27--TC--,
RBD,3.61,1,Nos,TC,,,,7E,RBD--3.61--TC--,
RBD,3.2,1,Nos,TC,,,,7E,RBD--3.2--TC--,
RBD,3,2,Nos,TC,,,,7E,RBD--3--TC--,
RBD,8.4,1,Nos,TC,,,,7E,RBD--8.4--TC--,
RBD,3.12,1,Nos,TC,,,,7E,RBD--3.12--TC--,
RBD,1.9,1,Nos,TC,,,,7E,RBD--1.9--TC--,
RBD,6.3,1,Nos,TC,,,,7E,RBD--6.3--TC--,
RBD,2.7,1,Nos,TC,,,,7E,RBD--2.7--TC--,
RBD,2.32,1,Nos,TC,,,,7E,RBD--2.32--TC--,
RBD,2.45,1,Nos,TC,,,,7E,RBD--2.45--TC--,
RBD,2.15,1,Nos,TC,,,,7E,RBD--2.15--TC--,
RBD,1.72,1,Nos,TC,,,,7E,RBD--1.72--TC--,
RBD,7.27,3,Nos,TC,,,,7E,RBD--7.27--TC--,
RBD,2.72,1,Nos,TC,,,,7E,RBD--2.72--TC--,
RBD,5.45,1,Nos,TC,,,,7E,RBD--5.45--TC--,
RBD,3.5,1,Nos,TC,,,,7E,RBD--3.5--TC--,
RBD,2.2,1,Nos,TC,,,,7E,RBD--2.2--TC--,
RBD,3.55,1,Nos,TC,,,,7E,RBD--3.55--TC--,
RBD,3.45,1,Nos,TC,,,,7E,RBD--3.45--TC--,
RBD,3.4,1,Nos,TC,,,,7E,RBD--3.4--TC--,
RBD,3.3,1,Nos,TC,,,,7E,RBD--3.3--TC--,
RBD,4.93,1,Nos,TC,,,,7E,RBD--4.93--TC--,
RBD,4.4,1,Nos,TC,,,,7E,RBD--4.4--TC--,
RBD,3.3,1,Nos,TC,,,,7E,RBD--3.3--TC--,
RBD,5.45,1,Nos,TC,,,,7E,RBD--5.45--TC--,
COMP-DIE,4.88,1,Nos,,,,,at stranding m/c,COMP-DIE--4.88----,
COMP-DIE,5.73,1,Nos,,,,,at stranding m/c,COMP-DIE--5.73----,
COMP-DIE,5.45,1,Nos,,,,,at stranding m/c,COMP-DIE--5.45----,
COMP-DIE,3.75,1,Nos,,,,,at stranding m/c,COMP-DIE--3.75----,
COMP-DIE,3.7,1,Nos,,,,,at stranding m/c,COMP-DIE--3.7----,
COMP-DIE,5.8,1,Nos,,,,,at stranding m/c,COMP-DIE--5.8----,
COMP-DIE,10.8,1,Nos,,,,,at stranding m/c,COMP-DIE--10.8----,
COMP-DIE,3.81,1,Nos,,,,,at stranding m/c,COMP-DIE--3.81----,
COMP-DIE,5.54,1,Nos,,,,,at stranding m/c,COMP-DIE--5.54----,
COMP-DIE,7,1,Nos,,,,,at stranding m/c,COMP-DIE--7----,
COMP-DIE,3.95,1,Nos,,,,,at stranding m/c,COMP-DIE--3.95----,
COMP-DIE,3.64,1,Nos,,,,,at stranding m/c,COMP-DIE--3.64----,
COMP-DIE,13.62,1,Nos,,,,,at stranding m/c,COMP-DIE--13.62----,
